Brand,Model,Year,Status,Mileage,Dealer,Price
Cadillac,Escalade,2023,Certified,19443.0,Big Star Cadillac,104911.0
Acura,Integra,2024,New,,AutoNation Acura Gulf Freeway,33295.0
Acura,Integra,2024,New,,AutoNation Acura Gulf Freeway,33295.0
Volkswagen,Atlas,2023,New,,,41148.0
Acura,MDX,2023,Certified,4624.0,AutoNation Acura Gulf Freeway,53998.0
Ford,Mustang,2021,Used,50199.0,Big Star Chrysler Jeep Dodge Ram Fiat Clear Lake,23799.0
GMC,Yukon,2021,Used,71001.0,Big Star Chrysler Jeep Dodge Ram Fiat Clear Lake,55990.0
BMW,435 i,2015,Used,101003.0,Big Star Chrysler Jeep Dodge Ram Fiat Clear Lake,17230.0
Acura,ILX,2018,Used,66075.0,Big Star Hyundai,20588.0
Chevrolet,LS,2003,Used,133540.0,Big Star Hyundai,7888.0
Toyota,Tundra,2018,Used,106619.0,Big Star Hyundai,30888.0
Hyundai,Palisade,2022,Certified,25035.0,Big Star Hyundai,44988.0
Ford,Mustang,2022,Used,9185.0,Big Star Hyundai,44988.0
Ford,Mustang,2023,Used,8640.0,Big Star Hyundai,47988.0
BMW,X7,2022,Used,28111.0,Big Star Hyundai,75888.0
Ford,Mustang,2021,Used,13656.0,Big Star Hyundai,27988.0
Ford,Escape,2022,Used,9358.0,Big Star Hyundai,29588.0
Hyundai,Sonata,2019,Certified,24729.0,Big Star Hyundai,28988.0
MINI,Cooper,2024,New,,BMW MINI of Clear Lake,36960.0
BMW,iX M60,2024,New,,BMW MINI of Clear Lake,120895.0
BMW,X7,2019,Used,59513.0,BMW MINI of Clear Lake,45700.0
MINI,Cooper,2024,New,,BMW MINI of Clear Lake,35995.0
BMW,X3,2023,New,,BMW MINI of Clear Lake,49560.0
GMC,Yukon,2023,New,,Gay Family Auto,77760.0
Mazda,CX-5,2023,New,,,41643.0
GMC,Yukon,2023,New,,Gay Family Auto,99145.0
GMC,Yukon,2023,New,,Gay Family Auto,76710.0
GMC,Yukon,2023,Used,7577.0,Gay Family Auto,89993.0
GMC,Canyon,2023,New,,Gay Family Auto,50330.0
Toyota,Land Cruiser,2017,Used,35837.0,Gay Family Auto,66994.0
GMC,Yukon,2023,New,,Gay Family Auto,76710.0
GMC,Yukon,2023,New,,Gay Family Auto,70840.0
GMC,Yukon,2023,New,,Gay Family Auto,70840.0
Cadillac,LYRIQ,2023,New,,Bubba Oustalet Chevrolet Cadillac,63030.0
Chevrolet,Trax,2024,New,,AutoNation Chevrolet Gulf Freeway,26235.0
RAM,1500,2023,New,,Sterling Automotive West,51640.0
Jeep,Grand Cherokee,2023,New,,Sterling Automotive West,46435.0
GMC,Yukon,2023,New,,Beck & Masten Buick GMC South,81670.0
Lincoln,Navigator,2019,Used,97768.0,Beck & Masten Buick GMC South,39749.0
Ford,Mustang,2024,New,,AutoNation Ford Gulf Freeway,49205.0
Toyota,Tundra,2023,New,,AutoNation Toyota Gulf Freeway,54466.0
Toyota,Tundra,2023,New,,AutoNation Toyota Gulf Freeway,67636.0
Toyota,Tundra,2019,Used,119885.0,AutoNation Toyota Gulf Freeway,29998.0
Toyota,Tundra,2023,New,,AutoNation Toyota Gulf Freeway,64296.0
Mazda,CX-5,2023,New,,,38227.0
Toyota,Tundra,2023,New,,AutoNation Toyota Gulf Freeway,67636.0
Toyota,Tundra,2023,New,,AutoNation Toyota Gulf Freeway,66172.0
Acura,TLX,2021,Used,50084.0,South Houston Nissan,31991.0
Land Rover,Range Rover,2020,Used,20075.0,BMW of Houston North,76998.0
Audi,RS 5,2021,Used,50226.0,BMW of Houston North,60995.0
Cadillac,Escalade,2019,Used,100506.0,Sterling McCall Chevrolet,39991.0
Lexus,LS,2013,Used,95611.0,Sterling McCall Chevrolet,23235.0
Nissan,Leaf,2023,New,,Tom Peacock Nissan,29885.0
Nissan,Leaf,2023,New,,Tom Peacock Nissan,29860.0
Nissan,Altima,2024,New,,Tom Peacock Nissan,34720.0
Mercedes,E-Class,2022,Certified,9143.0,Mercedes-Benz of Houston North,61994.0
Jeep,Grand Cherokee,2023,Used,5219.0,Mercedes-Benz of Houston North,41595.0
Mercedes,GLS 600,2023,Certified,1199.0,Mercedes-Benz of Houston North,176995.0
Acura,MDX,2022,Used,29143.0,Mercedes-Benz of Houston North,43995.0
Toyota,Highlander,2015,Used,61296.0,Northside Lexus,25322.0
Mercedes,E-Class,2010,Used,140556.0,Northside Lexus,7900.0
Jeep,Wagoneer,2022,Used,24360.0,Northside Lexus,58986.0
Mercedes,GLS 450,2018,Used,28956.0,Northside Lexus,40899.0
Lexus,LS,2021,Used,73628.0,Northside Lexus,49950.0
Cadillac,Escalade,2023,New,,Tom Peacock Cadillac,113095.0
Volkswagen,Golf,2023,New,,,38626.0
Porsche,Cayenne,2020,Used,32564.0,Audi North Houston,47944.0
Audi,Q7,2023,Certified,8541.0,Audi North Houston,53984.0
Audi,TT,2020,Certified,29080.0,Audi North Houston,43984.0
Jeep,Wrangler,2017,Used,54215.0,Audi North Houston,29688.0
Audi,GT,2023,New,,Audi North Houston,157790.0
Lincoln,Navigator,2021,Used,45988.0,Planet Lincoln,73911.0
Ford,F-150,2019,Certified,39190.0,Planet Ford 45,40884.0
Ford,F-250,2017,Used,131467.0,Planet Ford 45,36884.0
Land Rover,Range Rover,2023,Used,20555.0,Land Rover Houston North,149996.0
Land Rover,Range Rover,2019,Used,41856.0,Land Rover Houston North,52996.0
Land Rover,Defender,2021,Used,28989.0,Land Rover Houston North,73996.0
Infiniti,QX80,2020,Certified,71265.0,Sewell INFINITI of North Houston,31999.0
Infiniti,QX60,2020,Certified,40935.0,Sewell INFINITI of North Houston,28999.0
Infiniti,QX80,2022,Certified,8201.0,Sewell INFINITI of North Houston,53498.0
Infiniti,QX80,2023,New,,Sewell INFINITI of North Houston,87955.0
Infiniti,Essentia,2022,Certified,17375.0,Sewell INFINITI of North Houston,44999.0
Mercedes,GLE,2024,Certified,2963.0,Mercedes-Benz of The Woodlands,92498.0
Porsche,Cayenne,2014,Used,71651.0,AutoNation Chrysler Dodge Jeep Ram Spring,21889.0
Porsche,Panamera,2020,Certified,54498.0,Porsche North Houston,69991.0
GMC,Yukon,2023,New,,Demontrond Buick GMC,95190.0
Volkswagen,Atlas,2024,New,,,44636.0
GMC,Yukon,2022,Used,15195.0,BMW of The Woodlands,69995.0
BMW,M3,2024,New,,BMW of The Woodlands,98795.0
BMW,M340,2024,New,,BMW of The Woodlands,66355.0
Kia,Telluride,2020,Used,69185.0,"Arapahoe KIA - Delivery from Denver, CO (Houston)",37440.0
Kia,Forte,2018,Used,47466.0,"Arapahoe KIA - Delivery from Denver, CO (Houston)",13947.0
MINI,Cooper,2021,Used,25246.0,MINI of The Woodlands,27998.0
Audi,A7,2023,Used,5130.0,MINI of The Woodlands,63498.0
BMW,X3,2023,New,,Advantage BMW Midtown,51925.0
BMW,X5,2024,New,,Advantage BMW Midtown,107995.0
BMW,330 i,2023,New,,Advantage BMW Midtown,47635.0
BMW,iX xDrive50,2024,New,,Advantage BMW Midtown,99095.0
BMW,740,2023,New,,Advantage BMW Midtown,99240.0
Nissan,Juke,2011,Used,107791.0,Advantage BMW Midtown,8784.0
Cadillac,CT6,2019,Used,63436.0,Gullo Ford of Conroe - The Woodlands,36995.0
Ford,Bronco,2023,New,,Gullo Ford of Conroe - The Woodlands,57945.0
Mazda,CX-5,2024,New,,Gullo Mazda,35935.0
Mazda,CX-5,2024,New,,Gullo Mazda,35485.0
Mazda,CX-5,2023,New,,Gullo Mazda,30470.0
Mazda,CX-5,2023,New,,Gullo Mazda,30470.0
Mazda,Mazda3,2023,New,,Gullo Mazda,29916.0
Volkswagen,Atlas,2023,New,,,45876.0
Lincoln,Navigator,2021,Used,60121.0,Keating Honda,57399.0
Subaru,WRX,2021,Used,16708.0,Keating Honda,40888.0
Ford,F-150,2022,Used,13722.0,Keating Honda,63148.0
Chevrolet,Camaro,2018,Used,15486.0,Keating Honda,58997.0
Honda,Accord,2023,New,,Keating Honda,39440.0
Ford,F-150,2017,Used,40271.0,Keating Honda,39395.0
Lincoln,Navigator,2015,Used,107115.0,Keating Honda,19997.0
Subaru,Crosstrek,2019,Used,39226.0,Keating Honda,19555.0
Ford,Ranger,2023,New,,Tommie Vaughn Ford,47010.0
Ford,Explorer,2022,New,,Tommie Vaughn Ford,46995.0
Lincoln,Town Car,2006,Used,61900.0,Ella Blvd Motors,13250.0
Ford,Fusion,2007,Used,157965.0,Ella Blvd Motors,7650.0
Chevrolet,LS,2009,Used,152076.0,Ella Blvd Motors,12150.0
RAM,2500,2023,Used,355.0,Motor Trends of Houston,94663.0
Jeep,Gladiator,2023,New,,Southern Chrysler Dodge Jeep,41139.0
Jeep,Wrangler,2024,New,,Southern Chrysler Dodge Jeep,47045.0
Jeep,Grand Cherokee,2023,New,,Southern Chrysler Dodge Jeep,63600.0
Audi,Q5,2020,Certified,20456.0,Audi Central Houston,34996.0
Toyota,Highlander,2019,Used,76328.0,Grubbs Volvo Cars of Central Houston,28499.0
Volkswagen,Atlas,2021,Certified,20847.0,Momentum Volkswagen of Upper Kirby,33497.0
Mazda,Mazda3,2023,New,,,23703.0
Jeep,Wrangler,2023,New,,River Oaks Chrysler Jeep Dodge RAM,64770.0
Mercedes,GLE,2024,New,,Star Motor Cars,70165.0
Mercedes,GLE,2024,New,,Star Motor Cars,77240.0
Land Rover,Range Rover,2024,New,,Land Rover Houston Central,71708.0
Jaguar,F-PACE,2024,New,,Jaguar Houston Central,66791.0
Land Rover,Range Rover,2024,New,,Land Rover Houston Central,82930.0
Land Rover,Discovery,2023,Used,14218.0,Land Rover Houston Central,63496.0
Jeep,Wrangler,2024,New,,AutoNation Chrysler Dodge Jeep Ram Houston,34991.0
Volkswagen,Atlas,2021,Used,16785.0,AutoNation Chrysler Dodge Jeep Ram Houston,37998.0
Jeep,Wagoneer,2023,New,,AutoNation Chrysler Dodge Jeep Ram Houston,74999.0
Chevrolet,Silverado,2024,New,,Davis Chevrolet,65830.0
Chevrolet,Trax,2024,New,,Davis Chevrolet,24790.0
Mercedes,GLA,2023,New,,Mercedes-Benz of Houston Greenway,43825.0
Mercedes,G 550,2019,Certified,44237.0,Mercedes-Benz of Houston Greenway,122998.0
Audi,e-tron,2021,Used,11845.0,Mercedes-Benz of Houston Greenway,47998.0
Mercedes,S-Class,2022,New,,Mercedes-Benz of Houston Greenway,128435.0
Maserati,Ghibli,2022,Used,5456.0,Mercedes-Benz of Houston Greenway,55595.0
Mercedes,S-Class,2022,New,,Mercedes-Benz of Houston Greenway,135345.0
Chevrolet,Tahoe,2015,Used,85745.0,Mercedes-Benz of Houston Greenway,27562.0
Mercedes,S-Class,2023,New,,Mercedes-Benz of Houston Greenway,133795.0
Volkswagen,ID.4,2023,New,,,53055.0
Audi,6,2023,Used,4431.0,Mercedes-Benz of Houston Greenway,126998.0
Honda,CR-V,2020,Certified,17392.0,Russell & Smith Honda,33999.0
Hyundai,Elantra,2019,Used,79764.0,Russell & Smith Honda,14230.0
Lexus,GX,2020,Used,62547.0,Russell & Smith Honda,38789.0
Chevrolet,Tahoe,2021,Used,55067.0,Russell & Smith Honda,57648.0
Honda,Passport,2020,Certified,19421.0,Russell & Smith Honda,29891.0
Mazda,CX-5,2017,Used,49831.0,Russell & Smith Honda,20700.0
Honda,Odyssey,2022,Certified,19984.0,Russell & Smith Honda,41415.0
Alfa Romeo,Giulia,2023,New,,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,37705.0
Alfa Romeo,Giulia,2024,New,,Helfman Dodge Chrysler Jeep Ram FIAT Alfa Romeo Maserati,41865.0
Toyota,Highlander,2019,Used,78644.0,Ottos Auto World,31218.0
Ford,F-150,2020,Used,35430.0,Ottos Auto World,32649.0
Ford,Explorer,2022,Used,18514.0,Big Star Ford,40800.0
Chevrolet,Corvette,2023,Used,1480.0,Big Star Ford,96400.0
Jeep,Wrangler,2018,Used,68259.0,Southfork Chrysler Dodge Jeep Ram,26700.0
Honda,CR-V,2020,Used,6792.0,Southfork Chrysler Dodge Jeep Ram,30990.0
Jeep,Grand Cherokee,2023,New,,Southfork Chrysler Dodge Jeep Ram,70805.0
Mercedes,C-Class,2010,Used,166500.0,DDM Cars,7990.0
Mazda,CX-9,2024,New,,Joe Myers Mazda,55445.0
Mazda,CX-9,2024,New,,Joe Myers Mazda,59620.0
Chevrolet,Traverse,2023,New,,,34915.0
Mazda,CX-5,2023,New,,Joe Myers Mazda,41195.0
Mazda,Mazda3,2024,New,,Joe Myers Mazda,31425.0
Mazda,CL,2023,New,,Joe Myers Mazda,37395.0
Ford,F-350,2022,Used,2526.0,Joe Myers Ford,59971.0
Ford,F-250,2021,Used,121600.0,Joe Myers Ford,44997.0
BMW,X4,2021,Used,33091.0,Joe Myers Ford,47971.0
Jeep,Wrangler,2008,Used,18474.0,Unique Auto Group,23995.0
Honda,Civic,2016,Used,76064.0,Unique Auto Group,17995.0
GMC,Sierra,2024,New,,Beck & Masten Buick GMC North,96860.0
GMC,Canyon,2023,New,,Beck & Masten Buick GMC North,57374.0
Ford,F-150,2019,Certified,93444.0,Mac Haik Ford,34089.0
Mercedes,6,2018,Used,19870.0,Mac Haik Ford,47998.0
Jeep,Wrangler,2003,Used,159568.0,Dynamic Motorsports Of Texas,9949.0
Jeep,Wrangler,2005,Used,148274.0,Dynamic Motorsports Of Texas,12995.0
Jeep,Wrangler,2004,Used,139595.0,Dynamic Motorsports Of Texas,14695.0
Jeep,Wrangler,1999,Used,172995.0,Dynamic Motorsports Of Texas,8995.0
Jeep,Wrangler,2004,Used,145200.0,Dynamic Motorsports Of Texas,14995.0
BMW,3,2015,Used,83969.0,John Eagle Honda of Houston,12500.0
Chevrolet,Suburban,2015,Used,116282.0,John Eagle Honda of Houston,23500.0
Ford,Fiesta,2019,Used,84932.0,John Eagle Honda of Houston,10000.0
Mazda,CX-9,2024,New,,,53720.0
Chevrolet,Trax,2024,New,,Lone Star Chevrolet,26540.0
Chevrolet,Silverado,2023,New,,Lone Star Chevrolet,64390.0
Chevrolet,Silverado,2024,New,,Lone Star Chevrolet,65976.0
Chevrolet,Trax,2024,New,,Lone Star Chevrolet,26540.0
Ford,GT,2017,Used,13881.0,Lone Star Chevrolet,67997.0
Chevrolet,Silverado,2024,New,,Lone Star Chevrolet,65385.0
Ford,F-150,2021,Used,43151.0,Joe Myers Toyota,43497.0
Toyota,Tacoma,2023,New,,Huntsville Toyota,49261.0
Toyota,Tundra,2023,New,,Sterling McCall Toyota,67105.0
Toyota,Tundra,2023,New,,Sterling McCall Toyota,65045.0
Toyota,Tundra,2023,New,,Sterling McCall Toyota,59942.0
Toyota,Tundra,2017,Used,71925.0,Sterling McCall Toyota,32729.0
Tesla,Model X,2022,Used,2172.0,Carz 4 Us,85450.0
Bentley,Flying Spur,2015,Used,53572.0,Carz 4 Us,62055.0
Mercedes,Roadster,2003,Used,70075.0,AUTOTROPHIES,18995.0
Lincoln,Corsair,2022,New,,West Point Lincoln,44380.0
Volkswagen,Atlas,2021,Used,15305.0,West Point Lincoln,32991.0
Mazda,CX-5,2023,New,,Greenway Mazda,38227.0
Mazda,MX-5 Miata,2023,New,,Greenway Mazda,32950.0
Mazda,Mazda3,2023,New,,Greenway Mazda,23703.0
Volkswagen,Golf,2023,New,,,40185.0
Mazda,Mazda3,2024,New,,Greenway Mazda,32110.0
Mazda,CX-5,2023,New,,Greenway Mazda,36703.0
Mazda,CX-5,2023,New,,Greenway Mazda,41643.0
Ford,F-250,2023,New,,Shetler-Corley Motors,
Ford,F-250,2023,New,,Shetler-Corley Motors,
Ford,F-250,2023,New,,Shetler-Corley Motors,
BMW,xD,2014,Used,94110.0,Sterling McCall Lexus,13295.0
Toyota,Highlander,2019,Used,39063.0,Sterling McCall Lexus,27495.0
Hyundai,Tucson,2017,Used,84375.0,Sterling McCall Lexus,16995.0
Lexus,RX,2015,Used,95005.0,Sterling McCall Lexus,19295.0
Lexus,ES,2018,Used,98637.0,Sterling McCall Lexus,22074.0
Mercedes,E-Class,2013,Used,105967.0,Sterling McCall Lexus,11995.0
Lexus,LC,2023,New,,Sterling McCall Lexus,113970.0
Porsche,Macan,2018,Used,40073.0,Porsche River Oaks,39246.0
Ford,Bronco,2021,Used,13260.0,Don McGill Toyota of Houston,48928.0
Toyota,Land Cruiser,2021,Used,41490.0,Don McGill Toyota of Houston,82556.0
Porsche,Taycan,2022,Certified,12362.0,Porsche West Houston,82996.0
Porsche,Cayenne,2023,Certified,3982.0,Porsche West Houston,88996.0
Acura,MDX,2023,Used,3204.0,Sterling McCall Acura,51480.0
Acura,RDX,2017,Used,76855.0,Sterling McCall Acura,20980.0
Land Rover,Defender,2020,Used,18600.0,Land Rover Southwest Houston,66996.0
Subaru,Outback,2018,Used,104116.0,Westside Lexus,20888.0
GMC,Yukon,2023,New,,Sterling McCall Buick GMC,76325.0
GMC,Sierra,2023,New,,Sterling McCall Buick GMC,90935.0
GMC,Sierra,2023,New,,Sterling McCall Buick GMC,59560.0
GMC,Sierra,2024,New,,Sterling McCall Buick GMC,96235.0
Genesis,GV80,2023,New,,GENESIS OF SOUTHWEST HOUSTON,75379.0
Genesis,GV80,2023,New,,GENESIS OF SOUTHWEST HOUSTON,67496.0
Genesis,G70,2023,New,,GENESIS OF SOUTHWEST HOUSTON,44155.0
Hyundai,Tucson,2023,New,,Sterling McCall Hyundai,37300.0
Genesis,G70,2023,New,,GENESIS OF SOUTHWEST HOUSTON,50540.0
Hyundai,Tucson,2023,New,,Sterling McCall Hyundai,29600.0
Dodge,Challenger,2016,Used,88582.0,Sterling McCall Hyundai,24999.0
Subaru,Ascent,2023,Certified,8188.0,Gillman Subaru,41989.0
Jeep,Wagoneer,2023,New,,Gillman Jeep,79850.0
Ford,F-250,2022,Used,27445.0,Gillman Jeep,65986.0
RAM,2500,2024,New,,Gillman Chrysler Dodge RAM,88130.0
Toyota,Tacoma,2018,Used,130989.0,Gillman Chrysler Dodge RAM,25993.0
Cadillac,XT4,2023,New,,Sewell Cadillac,52910.0
Volkswagen,Golf,2023,New,,,37964.0
RAM,2500,2024,New,,Wischnewsky Chrysler Dodge Jeep Ram,99140.0
Jeep,Wagoneer,2022,Used,22135.0,Wischnewsky Chrysler Dodge Jeep Ram,60887.0
Chevrolet,1,2021,Used,44412.0,Wischnewsky Chrysler Dodge Jeep Ram,14443.0
Ford,Mustang,2022,Used,811.0,Helfman Ford - Stafford,53944.0
Ford,Mustang,2024,New,,Helfman Ford - Stafford,52105.0
Nissan,Pathfinder,2023,New,,Sterling McCall Nissan,51785.0
Mercedes,E-Class,2023,New,,Mercedes-Benz of West Houston,62970.0
Mercedes,GLC,2023,New,,Mercedes-Benz of West Houston,58695.0
Mercedes,AMG GT,2023,New,,Mercedes-Benz of West Houston,125250.0
Mercedes,GLS 580,2023,New,,Mercedes-Benz of West Houston,114645.0
Mercedes,300,2023,New,,Mercedes-Benz of West Houston,63700.0
Mercedes,E-Class,2023,New,,Mercedes-Benz of West Houston,85570.0
Mercedes,4MATIC,2023,New,,Mercedes-Benz of West Houston,80150.0
Mercedes,GLS 600,2023,New,,Mercedes-Benz of West Houston,194800.0
Mercedes,GLA,2023,New,,Mercedes-Benz of West Houston,69195.0
Mercedes,300,2023,New,,Mercedes-Benz of West Houston,64410.0
GMC,Sierra,2023,New,,Foy Chevrolet GMC,79360.0
GMC,Acadia,2023,New,,Foy Chevrolet GMC,41880.0
GMC,Sierra,2022,Certified,20222.0,Classic Elite Chevrolet Sugar Land,62991.0
Lexus,RX,2013,Used,109942.0,AutoNation USA Katy,16983.0
Mazda,CX-9,2024,New,,,44258.0
Lexus,LX,2020,Used,61900.0,AutoNation USA Katy,65683.0
BMW,X5,2023,Used,9775.0,AutoNation USA Katy,78683.0
Lexus,RX,2013,Used,96704.0,AutoNation USA Katy,17483.0
Audi,RS 7,2023,New,,Audi West Houston,155241.0
Audi,Q7,2020,Certified,37035.0,Audi West Houston,47497.0
Audi,SQ5,2018,Used,47030.0,Audi Sugar Land,31999.0
BMW,540 i,2022,Used,18182.0,Audi Sugar Land,48999.0
Audi,Q7,2022,Certified,27405.0,Audi Sugar Land,49991.0
Audi,Q7,2023,New,,Audi Sugar Land,88565.0
Audi,A8,2019,Certified,39922.0,Audi Sugar Land,41991.0
Infiniti,QX50,2019,Used,63152.0,Audi Sugar Land,23771.0
Audi,S3,2017,Used,48594.0,Audi Sugar Land,25991.0
Mazda,CL,2023,New,,Jeff Haas Mazda,35651.0
RAM,1500,2022,Used,37069.0,Hertz Car Sales Houston,29490.0
Kia,Sportage,2023,Used,37877.0,Hertz Car Sales Houston,23993.0
GMC,Yukon,2023,New,,Classic Elite Buick GMC,83500.0
GMC,Yukon,2023,New,,Classic Elite Buick GMC,91420.0
Chevrolet,Suburban,2016,Used,104797.0,Classic Elite Buick GMC,28991.0
GMC,Yukon,2023,New,,Classic Elite Buick GMC,60955.0
GMC,Yukon,2023,New,,Classic Elite Buick GMC,62540.0
Cadillac,Escalade,2019,Used,57160.0,Granbury Nissan,50479.0
GMC,Yukon,2023,New,,Classic Elite Buick GMC,83035.0
GMC,Sierra,2023,New,,Classic Elite Buick GMC,80300.0
GMC,Yukon,2023,New,,Classic Elite Buick GMC,91765.0
RAM,1500,2023,New,,Mike Perry Motor Company,66675.0
Dodge,Charger,2023,New,,Mike Perry Motor Company,34215.0
Jeep,Gladiator,2023,New,,Mike Perry Motor Company,48042.0
Dodge,Durango,2023,New,,Mike Perry Motor Company,39930.0
Dodge,Charger,2023,New,,Mike Perry Motor Company,32630.0
Mercedes,S-Class,2023,New,,Mercedes-Benz of Sugar Land,126470.0
Mercedes,4MATIC,2023,New,,Mercedes-Benz of Sugar Land,70480.0
Ford,Escape,2014,Used,80618.0,Jaguar Land Rover West Houston,12595.0
Chevrolet,Silverado,2024,New,,Gound Chevrolet,60500.0
Chevrolet,Silverado,2024,New,,Gound Chevrolet,65625.0
Chevrolet,Silverado,2024,New,,Gound Chevrolet,59180.0
Chevrolet,Silverado,2024,New,,Gound Chevrolet,89100.0
Chevrolet,Silverado,2023,New,,Gound Chevrolet,80900.0
Chevrolet,Equinox,2024,New,,Gound Chevrolet,35475.0
Chevrolet,Equinox,2024,New,,Gound Chevrolet,35475.0
Ford,F-350,2023,New,,AutoNation Ford Katy,88800.0
Ford,Mustang,2022,Used,2779.0,AutoNation Ford Katy,46998.0
Mazda,MX-5 Miata,2023,New,,,32950.0
BMW,Coupe,2024,New,,BMW of West Houston,44395.0
BMW,X5,2024,New,,BMW of West Houston,132380.0
Lexus,ES,2019,Used,46661.0,BMW of West Houston,30996.0
Mercedes,GLE,2022,Used,16272.0,BMW of West Houston,75996.0
BMW,X5,2024,New,,BMW of West Houston,93745.0
Toyota,GR86,2023,New,,Toyota of Katy,30680.0
Jeep,Wagoneer,2023,New,,AutoNation Chrysler Dodge Jeep Ram Katy,61991.0
Jeep,Wagoneer,2023,New,,AutoNation Chrysler Dodge Jeep Ram Katy,71285.0
Toyota,Tundra,2023,New,,Sterling McCall Toyota Fort Bend,64453.0
Toyota,Tundra,2023,New,,Sterling McCall Toyota Fort Bend,62511.0
Toyota,Prius,2022,Used,36331.0,Sterling McCall Toyota Fort Bend,23100.0
Toyota,Tundra,2018,Used,111820.0,Sterling McCall Toyota Fort Bend,28100.0
Acura,TLX,2017,Used,78138.0,Sterling McCall Toyota Fort Bend,19811.0
Lexus,RX,2011,Used,153869.0,Sterling McCall Toyota Fort Bend,12990.0
Chevrolet,Camaro,2023,New,,"Ray Chevrolet, Inc",36990.0
Chevrolet,Tahoe,2023,Certified,21050.0,"Ray Chevrolet, Inc",69988.0
